"requete","document","pertinence"
"terrorisme en france",1,1
"terrorisme en france",2,0
"terrorisme en france",3,1
"terrorisme en france",4,1
"terrorisme en france",5,0
"terrorisme en france",6,1
"terrorisme en france",7,0
"terrorisme en france",8,0
"terrorisme en france",9,1
"terrorisme en france",10,0
"crash airasia",1,1
"crash airasia",2,1
"crash airasia",3,0
"crash airasia",4,1
"crash airasia",5,1
"freres kouachi",1,1
"freres kouachi",2,1
"freres kouachi",3,1
"freres kouachi",4,0
"freres kouachi",5,1
"resultats football",1,1
"resultats football",2,1
"resultats football",3,1
"resultats football",4,1
"resultats football",5,1
"resultats football",6,1
"resultats football",7,1
"resultats football",8,1
"resultats football",9,1
"resultats football",10,1
"championnat rugby",1,1
"championnat rugby",2,1
"championnat rugby",3,1
"championnat rugby",4,0
"championnat rugby",5,1
"championnat rugby",6,1
"championnat rugby",7,0
"championnat rugby",8,0
"championnat rugby",9,0
"championnat rugby",10,1
